id,Posted_date,Job Title from List,Job Title,Company,Company Logo URL,Country,Location,Skills,Salary Info,Source
1,12-05-2024,Cloud Architect,"IT Security Technician I - Endwell, NY",Visions Federal Credit Union,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/41708e99be3fad847f59037cf4e3af6a,Germany,"Endwell, NY",R,$23 - $30 an hour,indeed.com
2,09-10-2024,Cloud Architect,Information Security Analyst,State University of New York at Fredonia,NA,Germany,"Binghamton, NY",R,NA,indeed.com
3,11-07-2024,Cloud Architect,"IT Security Analyst II - Endwell, NY",Visions Federal Credit Union,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/41708e99be3fad847f59037cf4e3af6a,Germany,"Endwell, NY",R,"$65,000 - $90,000 ",indeed.com
4,11-04-2024,Cloud Architect,Access Control Team Programmer,Cornell University,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/a97e6f2db88410fa4bd909c1f7bc77ef,Germany,"Ithaca, NY",R,"$84,167 - $97,815 ",indeed.com
5,10-23-2024,Cloud Architect,Cybersecurity SOC Analyst - IT Security - Full Time,The Guthrie Clinic,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/5871c18a0f4f72627769613275d827cc,Germany,"Sayre, PA","Software Development,R",NA,indeed.com
6,11-08-2024,Cloud Architect,Control Systems Integrator (Junior),Indeed,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/ae755030490915c476302da843afafe6,Germany,"Elmira, NY",R,"$40,000 - $80,000 ",indeed.com
7,11-19-2024,Cloud Architect,Cybersecurity Analyst,Fidelity TalentSource,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/4630577b0160aeea641e462095dbed8d,Germany,"Westlake, TX",R,NA,indeed.com
8,12-10-2024,Cloud Architect,Security Analyst,LSG Sky Chefs,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/b1758034a0e9d82c8a37490db10ebe88,Germany,"Irving, TX","R,NAT","$53,162.84 - $66,453.55 ",indeed.com
9,11-07-2024,Cloud Architect,Security Systems Analyst,Fidelity TalentSource,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/4630577b0160aeea641e462095dbed8d,Germany,"Westlake, TX","Software Development,R",NA,indeed.com
10,10-29-2024,Cloud Architect,Security Analyst,D.R. Horton Inc.,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/53dc982bf5ca1bb840aca1b343609292,Germany,"Arlington, TX",R,NA,indeed.com
11,12-10-2024,Cloud Architect,Security-Information Analyst,NTT Data Services,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/c21b3eeff438cc3857affa797a3cb07a,Germany,"Plano, TX","RDS,R",NA,indeed.com
12,12-10-2024,Cloud Architect,Information Security Analyst,Southern Glazer’s Wine and Spirits,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/927b25c1c94b7936aa9b94e012d260b9,Germany,"Dallas, TX",R,NA,indeed.com
13,11-18-2024,Cloud Architect,Insider Threat Senior Technical Analyst,Vanguard,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/2ca64fbc7c4c164f9e87fe77880f113a,Germany,"Dallas, TX","Software Development,R",NA,indeed.com
14,12-03-2024,Cloud Architect,Workday Security Senior Analyst,Deloitte,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/b245a75ba4a28df29f8f1551ac296deb,Germany,"Dallas, TX",R,"$72,889 - $140,663 ",indeed.com
15,11-27-2024,Cloud Architect,"Security Engineer, SMGS Security Escalations",Amazon.com,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/3e9d43f5c277de169808abdcaf49ba2c,Germany,"Dallas, TX","LAN,R","$125,500 - $212,800 ",indeed.com
16,12-06-2024,Cloud Architect,Lead Cyber Threat Intelligence Analyst,McKesson,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/78a2315043a47d4c8b8d1c97da10f404,Germany,"Irving, TX","Software Development,R","$139,000 - $231,600 ",indeed.com
17,06-10-2024,Cloud Architect,Senior Analyst Critical Technology &amp; Reporting,FlexIT Inc,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/d9d629568d43e29175aabffba221c4c0,Germany,"Dallas, TX","Software Development,R",NA,indeed.com
18,11-19-2024,Cloud Architect,Cybersecurity Analyst - Policy Management &amp; Regulatory Monitoring,GM Financial,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/bff0fc0ab326c4a104bc7b7fc33dfdd8,Germany,"Arlington, TX",R,NA,indeed.com
19,10-23-2024,Cloud Architect,Mainframe Identity &amp; Access Management Analyst - CDS,Companion Data Services,NA,Germany,"Dallas, TX",R,NA,indeed.com
20,11-21-2024,Cloud Architect,"AVP, Application Security Dynamic Analyst",Synchrony,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/d09f1a897f4f8d8b56478c6af2e7ddd3,Germany,"Dallas, TX",R,"$95,000 - $160,000 ",indeed.com
21,08-23-2024,Cloud Architect,Data Metrics Analyst - Cybersecurity,TEK NINJAS,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/f05f90301da28a2995493120b6dd0ff2,Germany,"Fort Worth, TX",R,$55 an hour,indeed.com
22,11-20-2024,Cloud Architect,Security Risk Analyst,Verizon,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/a7fd0283b663dde1820c3af59be9831b,Germany,"Irving, TX",R,NA,indeed.com
23,08-23-2024,Cloud Architect,Data Metrics Analyst - Cybersecurity,TEK NINJAS,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/f05f90301da28a2995493120b6dd0ff2,Germany,"Fort Worth, TX",R,$55 an hour,indeed.com
24,11-22-2024,Cloud Architect,Senior Security Analyst (Information Technology Services),"City of Dallas, TX",https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/9496acff851141ec55e60d1f17e90391,Germany,"Dallas, TX","Software Development,R","$70,080.75 - $87,600.94 ",indeed.com
25,12-04-2024,Cloud Architect,Lead BISO Analyst,Deloitte,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/b245a75ba4a28df29f8f1551ac296deb,Germany,"Dallas, TX","RDS,R","$97,600 - $200,600 ",indeed.com
