id,Posted_date,Job Title from List,Job Title,Company,Company Logo URL,Country,Location,Skills,Salary Info,Source
1,09-10-2024,Cybersecurity Analyst,Information Security Analyst,State University of New York at Fredonia,NA,Germany,"Binghamton, NY",R,NA,indeed.com
2,12-05-2024,Cybersecurity Analyst,"IT Security Technician I - Endwell, NY",Visions Federal Credit Union,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/41708e99be3fad847f59037cf4e3af6a,Germany,"Endwell, NY",R,$23 - $30 an hour,indeed.com
3,11-07-2024,Cybersecurity Analyst,"IT Security Analyst II - Endwell, NY",Visions Federal Credit Union,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/41708e99be3fad847f59037cf4e3af6a,Germany,"Endwell, NY",R,"$65,000 - $90,000 ",indeed.com
4,11-04-2024,Cybersecurity Analyst,Access Control Team Programmer,Cornell University,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/a97e6f2db88410fa4bd909c1f7bc77ef,Germany,"Ithaca, NY",R,"$84,167 - $97,815 ",indeed.com
5,10-23-2024,Cybersecurity Analyst,Cybersecurity SOC Analyst - IT Security - Full Time,The Guthrie Clinic,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/5871c18a0f4f72627769613275d827cc,Germany,"Sayre, PA","Software Development,R",NA,indeed.com
6,11-08-2024,Cybersecurity Analyst,Control Systems Integrator (Junior),Indeed,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/ae755030490915c476302da843afafe6,Germany,"Elmira, NY",R,"$40,000 - $80,000 ",indeed.com
7,11-19-2024,Cybersecurity Analyst,Cybersecurity Analyst,Fidelity TalentSource,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/4630577b0160aeea641e462095dbed8d,Germany,"Westlake, TX",R,NA,indeed.com
8,06-10-2024,Cybersecurity Analyst,Senior Analyst Critical Technology &amp; Reporting,FlexIT Inc,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/d9d629568d43e29175aabffba221c4c0,Germany,"Dallas, TX","Software Development,R",NA,indeed.com
9,11-07-2024,Cybersecurity Analyst,Security Systems Analyst,Fidelity TalentSource,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/4630577b0160aeea641e462095dbed8d,Germany,"Westlake, TX","Software Development,R",NA,indeed.com
10,12-10-2024,Cybersecurity Analyst,Information Security Analyst,Southern Glazer’s Wine and Spirits,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/927b25c1c94b7936aa9b94e012d260b9,Germany,"Dallas, TX",R,NA,indeed.com
