id,Posted_date,Job Title from List,Job Title,Company,Company Logo URL,Country,Location,Skills,Salary Info,Source
1,02-08-2024,Game developer,Adjunct Faculty - Interactive Simulation &amp; Game Technology,Dallas County Community College District,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/2ca6975803d22049554c565e0b6581f1,Germany,"Dallas, TX",R,NA,indeed.com
2,12-05-2024,Game developer,Oracle Delivery Lead,Accenture,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/e1bd47363c07b64a9578dbf71edbf4e4,Germany,"Irving, TX","Software Development,R",NA,indeed.com
3,03-30-2022,Game developer,Objective C developers,American-IS,NA,Germany,"Arlington, TX","LAN,R",NA,indeed.com
4,08-02-2024,Game developer,Senior Technical Artist,PROBABLYMONSTERS,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/8a9671109a951a50087cc443eb2449fa,Germany,"Dallas-Fort Worth, TX",R,"$95,000 - $138,000 ",indeed.com
5,11-25-2024,Game developer,Software Engineer,JPMorgan Chase,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/62e186e96c7550325814ef6880fae379,Germany,"Plano, TX",R,NA,indeed.com
6,11-12-2024,Game developer,Senior Software Engineer (Rust),Priceline.com,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/b5ccef114945086ea61ebe470e7893c5,Germany,"Dallas, TX","Software Development,R",NA,indeed.com
7,10-17-2024,Game developer,Principal Engineer,GameStop,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/bd103a819fa2d2de5be7a8b96ee20c0c,Germany,"Grapevine, TX","LAN,R",NA,indeed.com
8,10-21-2024,Game developer,SAP Callidus CPQ Technical/Functional Lead,Accenture,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/e1bd47363c07b64a9578dbf71edbf4e4,Germany,"Irving, TX",R,NA,indeed.com
9,10-01-2019,Game developer,Programmer Analyst,BRIXCEL,NA,Germany,"Richardson, TX","LAN,R",NA,indeed.com
10,11-05-2024,Game developer,Cloud Support Engineer (DFA),Amazon.com,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/744e8603d216350c9c1d21837f2ed7a6,Germany,"Dallas, TX","Gin,Data Engineering,R",NA,indeed.com
11,10-11-2024,Game developer,"Director, Software Engineering - Cloud Governance &amp; Site Reliability Engineering (SRE)",Capital One,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/231e72fed9b08e7f098ab59080cc2dd6,Germany,"Plano, TX","LAN,R",NA,indeed.com
12,11-20-2024,Game developer,Senior Data Engineer,Verizon,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/a7fd0283b663dde1820c3af59be9831b,Germany,"Irving, TX",R,NA,indeed.com
13,04-03-2024,Game developer,Game Development Automation &amp; Stability Engineer,ZeniMax Media Inc.,NA,Germany,"Dallas, TX",R,"$75,000 - $160,000 ",indeed.com
14,12-03-2024,Game developer,Games QA Focus Tester,Indeed,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/b5969b9683b1eb2d80d738d1ec72316f,Germany,"Richardson, TX","Authorization,R",$8 an hour,indeed.com
15,10-08-2024,Game developer,Full Stack Engineer,[x]cube LABS,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/e4b6a86c3d174aa9e117e94b3afd0aac,Germany,"Dallas, TX","LAN,R",NA,indeed.com
16,12-06-2024,Game developer,Games QA Test Lead,Indeed,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/b5969b9683b1eb2d80d738d1ec72316f,Germany,"Richardson, TX","Authorization,R",NA,indeed.com
17,11-07-2024,Game developer,Senior Technical Artist,Gearbox Software,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/dbe95f85533cc98163175c42bc5b31ea,Germany,"Frisco, TX",R,NA,indeed.com
18,10-24-2024,Game developer,Programmer,Fruit Of The Earth,NA,Germany,"Grand Prairie, TX","LAN,R","$100,000 - $120,000 ",indeed.com
19,11-01-2022,Game developer,Software Developer,SDH Systems,NA,Germany,"Farmers Branch, TX","Software Development,R","$81,806 ",indeed.com
20,12-09-2024,Game developer,Functional Video Game Tester for MTG-like Game,Indeed,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/b5969b9683b1eb2d80d738d1ec72316f,Germany,"Richardson, TX",R,From $8 an hour,indeed.com
21,11-11-2024,Game developer,Scénariste sénior / Senior Writer,Gearbox Software,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/dbe95f85533cc98163175c42bc5b31ea,Germany,"Frisco, TX","LAN,R",NA,indeed.com
22,11-25-2024,Game developer,Conversion Rate Optimization (CRO) Manager,AXS,NA,Germany,"Dallas, TX",R,NA,indeed.com
23,09-14-2023,Game developer,Scrum Master,Photon,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/4aa6cf8582dae94e91d8bf97770bbf32,Germany,"Dallas, TX","Software Development,R",NA,indeed.com
24,11-08-2024,Game developer,"Manager, Software Engineering",PepsiCo,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/0fb965a11f33a21c3ef029f421a814cd,Germany,"Plano, TX","LAN,R","$102,800 - $172,100 ",indeed.com
25,11-07-2024,Game developer,Machine Learning Engineer - REMOTE,NTT Data Services,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/c21b3eeff438cc3857affa797a3cb07a,Germany,"Plano, TX",R,"$108,472 - $251,094 ",indeed.com
26,07-25-2024,Game developer,Senior Oracle Cloud ERP Delivery Lead,Accenture,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/e1bd47363c07b64a9578dbf71edbf4e4,Germany,"Irving, TX","Software Development,R",NA,indeed.com
27,11-07-2024,Game developer,Software Engineer III,Sirius XM,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/30d86e1af25d4d37019fc63b435e4744,Germany,"Irving, TX","LAN,R",NA,indeed.com
28,11-07-2024,Game developer,Remote Machine Learning Engineer,NTT Data Services,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/c21b3eeff438cc3857affa797a3cb07a,Germany,"Plano, TX",R,"$108,472 - $251,094 ",indeed.com
29,02-21-2024,Game developer,Software Integration Engineer,Brock Solutions,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/d3c1e5d672c603266952111ac0162fcd,Germany,"Dallas, TX",R,NA,indeed.com
30,07-16-2024,Game developer,Junior Test / Validation Engineer,Talent 101,NA,Germany,"Dallas, TX","LAN,R","$75,000 - $80,000 ",indeed.com
31,12-06-2024,Game developer,Games QA Test Lead,Indeed,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/b5969b9683b1eb2d80d738d1ec72316f,Germany,"Richardson, TX","Authorization,R",NA,indeed.com
32,11-11-2024,Game developer,Scénariste sénior / Senior Writer,Gearbox Software,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/dbe95f85533cc98163175c42bc5b31ea,Germany,"Frisco, TX","LAN,R",NA,indeed.com
33,11-25-2024,Game developer,Conversion Rate Optimization (CRO) Manager,AXS,NA,Germany,"Dallas, TX",R,NA,indeed.com
34,12-09-2024,Game developer,Functional Video Game Tester for MTG-like Game,Indeed,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/b5969b9683b1eb2d80d738d1ec72316f,Germany,"Richardson, TX",R,From $8 an hour,indeed.com
35,10-24-2024,Game developer,Programmer,Fruit Of The Earth,NA,Germany,"Grand Prairie, TX","LAN,R","$100,000 - $120,000 ",indeed.com
36,11-07-2024,Game developer,Machine Learning Engineer - REMOTE,NTT Data Services,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/c21b3eeff438cc3857affa797a3cb07a,Germany,"Plano, TX",R,"$108,472 - $251,094 ",indeed.com
37,11-07-2024,Game developer,Senior Technical Artist,Gearbox Software,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/dbe95f85533cc98163175c42bc5b31ea,Germany,"Frisco, TX",R,NA,indeed.com
38,11-01-2022,Game developer,Software Developer,SDH Systems,NA,Germany,"Farmers Branch, TX","Software Development,R","$81,806 ",indeed.com
39,09-14-2023,Game developer,Scrum Master,Photon,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/4aa6cf8582dae94e91d8bf97770bbf32,Germany,"Dallas, TX","Software Development,R",NA,indeed.com
40,07-16-2024,Game developer,Junior Test / Validation Engineer,Talent 101,NA,Germany,"Dallas, TX","LAN,R","$75,000 - $80,000 ",indeed.com
41,11-07-2024,Game developer,Remote Machine Learning Engineer,NTT Data Services,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/c21b3eeff438cc3857affa797a3cb07a,Germany,"Plano, TX",R,"$108,472 - $251,094 ",indeed.com
42,11-08-2024,Game developer,"Manager, Software Engineering",PepsiCo,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/0fb965a11f33a21c3ef029f421a814cd,Germany,"Plano, TX","LAN,R","$102,800 - $172,100 ",indeed.com
43,11-07-2024,Game developer,Software Engineer III,Sirius XM,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/30d86e1af25d4d37019fc63b435e4744,Germany,"Irving, TX","LAN,R",NA,indeed.com
44,02-21-2024,Game developer,Software Integration Engineer,Brock Solutions,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/d3c1e5d672c603266952111ac0162fcd,Germany,"Dallas, TX",R,NA,indeed.com
45,07-25-2024,Game developer,Senior Oracle Cloud ERP Delivery Lead,Accenture,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/e1bd47363c07b64a9578dbf71edbf4e4,Germany,"Irving, TX","Software Development,R",NA,indeed.com
46,09-09-2024,Game developer,Senior SSRS BI Developer,Monkeysports Inc Master,NA,Germany,"Allen, TX","LAN,R","$85,000 - $110,000 ",indeed.com
47,06-14-2024,Game developer,Business Intelligence Developer,Myers Industries Inc,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/4a8cf2ab0bba356c1c05ed2c1578e37f,Germany,"Flower Mound, TX",NA,NA,indeed.com
48,08-27-2024,Game developer,3D Environment Artist,Eleventh Hour Games,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/2529c493c2ea04bcd073a0bbfe3cfdf5,Germany,"Dallas, TX",R,NA,indeed.com
49,11-20-2024,Game developer,Game Developer,Grover Gaming,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/639a65e7bcabf50609e3081f62c5628b,Germany,"Wilmington, NC",R,NA,indeed.com
50,09-16-2024,Game developer,Unity Developer,Golf Daddy,NA,Germany,"Irvine, CA",R,NA,indeed.com
51,12-04-2024,Game developer,Game Engineer Generalist,Rushdown Studios,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/18fbb8892caf243e7edb1ea9e75d1250,Germany,"Saratoga Springs, NY",R,"$100,000 - $150,000 ",indeed.com
52,03-27-2020,Game developer,Software / Game Developer,Tech Wizards,NA,Germany,"Dahlgren, VA",R,NA,indeed.com
53,12-04-2024,Game developer,Kids Coding and Game Design Tutor,Indeed,NA,Germany,"Redmond, WA","LAN,R",$50 - $60 an hour,indeed.com
54,03-14-2024,Game developer,Associate Game Designer,Intrepid Studios,NA,Germany,"San Diego, CA",R,"$55,000 - $82,500 ",indeed.com
55,10-18-2024,Game developer,Gameplay Engineer - VR/Unity,"Doge Labs, Inc.",NA,Germany,Remote,R,"$70,000 - $100,000 ",indeed.com
56,06-08-2022,Game developer,Game Designer,GAMEVISION,NA,Germany,"Naperville, IL","Software Development,R",NA,indeed.com
57,11-26-2024,Game developer,Game Designer,Indeed,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/fc1647788024d45ec6e0cc70d2f3cc44,Germany,Remote,R,"$36,000 - $60,000 ",indeed.com
58,08-21-2024,Game developer,Gameplay Engineer,thatgamecompany,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/b06c6d404c7ce74d4ee91f94e4be4d1b,Germany,California,"Software Development,R","$49,530 - $149,243 ",indeed.com
59,11-08-2024,Game developer,Gameplay Programmer,George Lucas Educational Foundation,NA,Germany,Remote,R,"$130,000 - $170,000 ",indeed.com
60,06-13-2017,Game developer,Unity Developer,Future Mobility Corp. Ltd.,NA,Germany,"Santa Clara, CA",R,NA,indeed.com
61,11-18-2024,Game developer,"Event Emcee - Game Night Host - Oxford, AL Region",Indeed,NA,Germany,"Oxford, AL","Authorization,R",$25 - $32 an hour,indeed.com
62,11-22-2024,Game developer,Video Game Refurbisher and/or Technician,Indeed,NA,Germany,"Sylva, NC",R,$10 - $15 an hour,indeed.com
