Posted_date,Job Title,Country,Company,Skill
12-05-2024,Cloud Architect,Germany,Visions Federal Credit Union,R
09-10-2024,Cloud Architect,Germany,State University of New York at Fredonia,R
11-07-2024,Cloud Architect,Germany,Visions Federal Credit Union,R
11-04-2024,Cloud Architect,Germany,Cornell University,R
10-23-2024,Cloud Architect,Germany,The Guthrie Clinic,"Software Development,R"
11-08-2024,Cloud Architect,Germany,Indeed,R
11-19-2024,Cloud Architect,Germany,Fidelity TalentSource,R
12-10-2024,Cloud Architect,Germany,LSG Sky Chefs,"R,NAT"
11-07-2024,Cloud Architect,Germany,Fidelity TalentSource,"Software Development,R"
10-29-2024,Cloud Architect,Germany,D.R. Horton Inc.,R
12-10-2024,Cloud Architect,Germany,NTT Data Services,"RDS,R"
12-10-2024,Cloud Architect,Germany,Southern Glazer’s Wine and Spirits,R
11-18-2024,Cloud Architect,Germany,Vanguard,"Software Development,R"
12-03-2024,Cloud Architect,Germany,Deloitte,R
11-27-2024,Cloud Architect,Germany,Amazon.com,"LAN,R"
12-06-2024,Cloud Architect,Germany,McKesson,"Software Development,R"
06-10-2024,Cloud Architect,Germany,FlexIT Inc,"Software Development,R"
11-19-2024,Cloud Architect,Germany,GM Financial,R
10-23-2024,Cloud Architect,Germany,Companion Data Services,R
11-21-2024,Cloud Architect,Germany,Synchrony,R
08-23-2024,Cloud Architect,Germany,TEK NINJAS,R
11-20-2024,Cloud Architect,Germany,Verizon,R
08-23-2024,Cloud Architect,Germany,TEK NINJAS,R
11-22-2024,Cloud Architect,Germany,"City of Dallas, TX","Software Development,R"
12-04-2024,Cloud Architect,Germany,Deloitte,"RDS,R"
12-05-2024,Cloud Architect,Germany,Citi,"Data Management,Data Engineering,R,Gin,MAN,Analytics"
11-08-2024,Cloud Architect,Germany,Citi,"Data Management,Data Engineering,R,Gin,MAN,Analytics"
10-09-2024,Cloud Architect,Germany,Citi,R
12-05-2024,Cloud Architect,Germany,Wells Fargo,R
12-10-2024,Cloud Architect,Germany,Wells Fargo,R
11-06-2024,Cloud Architect,Germany,Fidelity TalentSource,R
10-31-2024,Cloud Architect,Germany,Citi,"LAN,R"
11-22-2024,Cloud Architect,Germany,Sabre,R
10-01-2024,Cloud Architect,Germany,The Evolvers Group,R
11-06-2024,Cloud Architect,Germany,Citi,R
10-04-2024,Cloud Architect,Germany,Triumph Financial,"RDS,R"
12-06-2024,Cloud Architect,Germany,McKesson,"Software Development,R"
11-21-2024,Cloud Architect,Germany,Synchrony,R
11-20-2024,Cloud Architect,Germany,Verizon,R
08-23-2024,Cloud Architect,Germany,TEK NINJAS,R
12-04-2024,Cloud Architect,Germany,Deloitte,"RDS,R"
12-05-2024,Cloud Architect,Germany,Citi,"Data Management,Data Engineering,R,Gin,MAN,Analytics"
11-08-2024,Cloud Architect,Germany,Citi,"Data Management,Data Engineering,R,Gin,MAN,Analytics"
12-10-2024,Cloud Architect,Germany,Wells Fargo,R
12-05-2024,Cloud Architect,Germany,Wells Fargo,R
10-31-2024,Cloud Architect,Germany,Citi,"LAN,R"
10-09-2024,Cloud Architect,Germany,Citi,R
11-06-2024,Cloud Architect,Germany,Fidelity TalentSource,R
11-22-2024,Cloud Architect,Germany,Sabre,R
10-01-2024,Cloud Architect,Germany,The Evolvers Group,R
10-01-2024,Cloud Architect,Germany,Atmos Energy,R
10-04-2024,Cloud Architect,Germany,Triumph Financial,"RDS,R"
11-26-2024,Cloud Architect,Germany,Shellpoint Mortgage Servicing,"RDS,R"
12-09-2024,Cloud Architect,Germany,T-Mobile,R
11-26-2024,Cloud Architect,Germany,W.R. Berkley Corporation,"Software Development,R"
09-23-2024,Cloud Architect,Germany,Atmos Energy,R
11-27-2024,Cloud Architect,Germany,Bank of America,"Asset Management,R,MAN"
11-05-2024,Cloud Architect,Germany,UT Southwestern Medical Center,"RDS,R"
11-21-2024,Cloud Architect,Germany,McKesson,"Software Development,R"
11-26-2024,Cloud Architect,Germany,Shellpoint Mortgage Servicing,"RDS,R"
09-26-2024,Cloud Architect,Germany,Citi,"Asset Management,R,MAN"
12-10-2024,Cloud Architect,Germany,Gartner,R
10-10-2024,Cloud Architect,Germany,McKesson,"Software Development,R"
09-16-2024,Cloud Architect,Germany,Veritex Bank,R
11-24-2024,Cloud Architect,Germany,EY,R
12-06-2024,Cloud Architect,Germany,Citi,"Software Development,R"
12-06-2024,Cloud Architect,Germany,Citi,"Software Development,R"
10-30-2024,Cloud Architect,Germany,Citi,"Data Management,Data Engineering,R,Gin,MAN,Analytics"
07-30-2024,Cloud Architect,Germany,Citi,"Software Development,R"
09-30-2024,Cloud Architect,Germany,State Farm,"RDS,R"
11-01-2024,Cloud Architect,Germany,StandardAero,"RDS,R"
09-19-2024,Cloud Architect,Germany,Wells Fargo,"R,Leadership"
11-14-2024,Cloud Architect,Germany,Alcority,"RDS,R"
12-07-2024,Cloud Architect,Germany,HF Sinclair,R
12-10-2024,Cloud Architect,Germany,Alkami Technology,"Software Development,R"
06-27-2024,Cloud Architect,Germany,Citi,"LAN,R"
09-17-2024,Cloud Architect,Germany,Nexstar Broadcasting,R
11-18-2024,Cloud Architect,Germany,Blue Yonder,"Software Development,R"
11-30-2024,Cloud Architect,Germany,Simmons Bank,"Asset Management,R,MAN"
04-01-2024,Cloud Architect,Germany,Gray Tier Technologies,"Go,R"
08-07-2024,Cloud Architect,Germany,GM Financial,"Asset Management,R,MAN"
11-05-2024,Cloud Architect,Germany,Trace3,R
04-05-2017,Cloud Architect,Germany,Sonoma Consulting Inc.,R
10-01-2024,Cloud Architect,Germany,Indeed,R
05-08-2017,Cloud Architect,Germany,Sonoma Consulting Inc.,NA
06-21-2017,Cloud Architect,Germany,Sonoma Consulting Inc.,R
09-18-2024,Cloud Architect,Germany,CyberInt,R
08-27-2024,Cloud Architect,Germany,Scout Energy Management,"Software Development,R"
06-21-2017,Cloud Architect,Germany,Sonoma Consulting Inc.,NA
08-22-2024,Cloud Architect,Germany,Indeed,"RDS,R"
11-28-2023,Cloud Architect,Germany,Steneral Consulting,R
04-15-2024,Cloud Architect,Germany,Armor Defense Inc,"Software Development,R"
07-23-2024,Cloud Architect,Germany,"Contact Government Services, LLC","LAN,R"
11-22-2024,Cloud Architect,Germany,Evolus,R
12-03-2024,Cloud Architect,Germany,Indeed,"Project Management,R,MAN"
12-10-2024,Cloud Architect,Germany,Indeed,"R,Leadership"
12-03-2024,Cloud Architect,Germany,Indeed,R
10-02-2024,Cloud Architect,Germany,Indeed,"Authorization,R"
11-18-2024,Cloud Architect,Germany,Wpromote,R
10-02-2024,Cloud Architect,Germany,Indeed,R
11-12-2024,Cloud Architect,Germany,Indeed,"Software Development,R"
07-23-2024,Cloud Architect,Germany,AssistRx,R
11-18-2024,Cloud Architect,Germany,Northeast Alabama Regional Medical Center,R
07-23-2024,Cloud Architect,Germany,"Contact Government Services, LLC","LAN,R"
09-06-2024,Cloud Architect,Germany,"Contact Government Services, LLC",R
12-06-2024,Cloud Architect,Germany,Microsoft,"Software Development,R"
12-06-2024,Cloud Architect,Germany,Microsoft,"Software Development,R"
12-02-2024,Cloud Architect,Germany,Microsoft,R
12-04-2024,Cloud Architect,Germany,Microsoft,R
11-22-2024,Cloud Architect,Germany,Inclusion Cloud,"LAN,R"
12-10-2024,Cloud Architect,Germany,U.S. Bank,"LAN,R"
