Posted_date,Job Title,Country,Company,Skill
09-10-2024,Cybersecurity Analyst,Germany,State University of New York at Fredonia,R
12-05-2024,Cybersecurity Analyst,Germany,Visions Federal Credit Union,R
11-07-2024,Cybersecurity Analyst,Germany,Visions Federal Credit Union,R
11-04-2024,Cybersecurity Analyst,Germany,Cornell University,R
10-23-2024,Cybersecurity Analyst,Germany,The Guthrie Clinic,"Software Development,R"
11-08-2024,Cybersecurity Analyst,Germany,Indeed,R
11-19-2024,Cybersecurity Analyst,Germany,Fidelity TalentSource,R
06-10-2024,Cybersecurity Analyst,Germany,FlexIT Inc,"Software Development,R"
11-07-2024,Cybersecurity Analyst,Germany,Fidelity TalentSource,"Software Development,R"
12-10-2024,Cybersecurity Analyst,Germany,Southern Glazer’s Wine and Spirits,R
11-18-2024,Cybersecurity Analyst,Germany,Vanguard,"Software Development,R"
10-23-2024,Cybersecurity Analyst,Germany,Companion Data Services,R
10-23-2024,Cybersecurity Analyst,Germany,BlueCross BlueShield of South Carolina,R
12-10-2024,Cybersecurity Analyst,Germany,NTT Data Services,"R,RDS"
12-06-2024,Cybersecurity Analyst,Germany,McKesson,"Software Development,R"
11-27-2024,Cybersecurity Analyst,Germany,Amazon.com,"LAN,R"
12-03-2024,Cybersecurity Analyst,Germany,Deloitte,R
10-29-2024,Cybersecurity Analyst,Germany,D.R. Horton Inc.,R
11-19-2024,Cybersecurity Analyst,Germany,GM Financial,R
11-08-2024,Cybersecurity Analyst,Germany,Citi,"Gin,Data Management,Data Engineering,R,Analytics,MAN"
12-10-2024,Cybersecurity Analyst,Germany,Wells Fargo,R
12-10-2024,Cybersecurity Analyst,Germany,LSG Sky Chefs,"NAT,R"
11-06-2024,Cybersecurity Analyst,Germany,Citi,R
11-08-2024,Cybersecurity Analyst,Germany,Citi,"Gin,Data Management,Data Engineering,R,Analytics,MAN"
12-05-2024,Cybersecurity Analyst,Germany,Citi,"Gin,Data Management,Data Engineering,R,Analytics,MAN"
10-31-2024,Cybersecurity Analyst,Germany,Citi,"LAN,R"
11-21-2024,Cybersecurity Analyst,Germany,Synchrony,R
11-22-2024,Cybersecurity Analyst,Germany,"City of Dallas, TX","Software Development,R"
12-05-2024,Cybersecurity Analyst,Germany,Wells Fargo,R
11-21-2024,Cybersecurity Analyst,Germany,McKesson,"Software Development,R"
11-27-2024,Cybersecurity Analyst,Germany,Bank of America,"MAN,Asset Management,R"
