Posted_date,Job Title,Country,Company,Skill
12-09-2024,Data engineer,Germany,U.S. Bank,R
10-20-2024,Data engineer,Germany,Fidelity TalentSource,R
11-15-2024,Data engineer,Germany,Inabia Software &amp; Consulting Inc.,R
03-30-2022,Data engineer,Germany,American-IS,"LAN,R"
12-02-2024,Data engineer,Germany,Cognizant,R
09-19-2024,Data engineer,Germany,TEK NINJAS,R
10-30-2024,Data engineer,Germany,CEDENT,"Software Development,R"
04-11-2022,Data engineer,Germany,"Bayone Solutions, Inc.",R
12-14-2020,Data engineer,Germany,I-Team,"Software Development,R"
11-07-2024,Data engineer,Germany,RisamSoft,"Software Development,R"
03-20-2020,Data engineer,Germany,Axionent,"LAN,R"
11-22-2024,Data engineer,Germany,Inclusion Cloud,"LAN,R"
02-23-2024,Data engineer,Germany,Photon,"LAN,R"
12-05-2024,Data engineer,Germany,Tyler Technologies,"Software Development,R"
07-02-2024,Data engineer,Germany,Fidelity TalentSource,"LAN,R"
12-06-2024,Data engineer,Germany,Indeed,R
12-06-2024,Data engineer,Germany,American Airlines,"Software Development,R"
10-08-2024,Data engineer,Germany,TEK NINJAS,"LAN,R"
12-03-2024,Data engineer,Germany,Indeed,"Software Development,R"
09-12-2024,Data engineer,Germany,Michaels,R
01-09-2023,Data engineer,Germany,CEDENT,"Software Development,R"
05-21-2024,Data engineer,Germany,Photon,"LAN,R"
11-22-2024,Data engineer,Germany,Vofox Solutions,R
10-21-2024,Data engineer,Germany,CVS Health,"Software Development,R"
12-03-2024,Data engineer,Germany,Indeed,"LAN,R"
12-06-2024,Data engineer,Germany,Infosys,"Software Development,R"
12-06-2024,Data engineer,Germany,Indeed,"Authorization,R"
11-18-2024,Data engineer,Germany,Nisum,R
11-04-2024,Data engineer,Germany,GoodLeap,R
12-01-2024,Data engineer,Germany,Everlight Solar,R
12-06-2024,Data engineer,Germany,Indeed,R
09-12-2024,Data engineer,Germany,Michaels,R
12-06-2024,Data engineer,Germany,American Airlines,"Software Development,R"
11-22-2024,Data engineer,Germany,Vofox Solutions,R
12-03-2024,Data engineer,Germany,Indeed,"Software Development,R"
10-08-2024,Data engineer,Germany,TEK NINJAS,"LAN,R"
01-09-2023,Data engineer,Germany,CEDENT,"Software Development,R"
10-21-2024,Data engineer,Germany,CVS Health,"Software Development,R"
11-04-2024,Data engineer,Germany,GoodLeap,R
05-21-2024,Data engineer,Germany,Photon,"LAN,R"
12-03-2024,Data engineer,Germany,Indeed,"LAN,R"
10-10-2024,Data engineer,Germany,NTT Data Services,"Software Development,R"
12-06-2024,Data engineer,Germany,Infosys,"Software Development,R"
12-06-2024,Data engineer,Germany,Indeed,"Authorization,R"
11-18-2024,Data engineer,Germany,Nisum,R
12-01-2024,Data engineer,Germany,Everlight Solar,R
12-03-2024,Data engineer,Germany,Indeed,"Authorization,R"
11-07-2024,Data engineer,Germany,Adswizz,"LAN,R"
10-25-2024,Data engineer,Germany,Indeed,"Software Development,R"
09-13-2024,Data engineer,Germany,Toyota,"Software Development,R"
12-10-2024,Data engineer,Germany,Select Medical,"Software Development,R"
11-08-2024,Data engineer,Germany,Indeed,"Authorization,R"
10-17-2024,Data engineer,Germany,Intone networks,"Software Development,R"
09-30-2024,Data engineer,Germany,Capgemini,"LAN,R"
10-28-2024,Data engineer,Germany,Capgemini,"LAN,R"
12-06-2024,Data engineer,Germany,Indeed,R
11-01-2022,Data engineer,Germany,SDH Systems,"Software Development,R"
10-09-2024,Data engineer,Germany,Zimperium,"Software Development,R"
10-31-2024,Data engineer,Germany,Select Medical,"LAN,R"
11-14-2024,Data engineer,Germany,Indeed,"Software Development,R"
05-04-2017,Data engineer,Germany,Sonsoft Inc,"LAN,R"
12-21-2022,Data engineer,Germany,Nuanza,R
08-01-2024,Data engineer,Germany,TEK NINJAS,"Software Development,R"
12-29-2023,Data engineer,Germany,Adidev Technologies Inc,R
05-03-2017,Data engineer,Germany,Sonsoft Inc,"LAN,R"
11-07-2024,Data engineer,Germany,Sirius XM,"LAN,R"
10-08-2024,Data engineer,Germany,Capital One,"Software Development,R"
10-16-2024,Data engineer,Germany,Photon,"LAN,R"
08-23-2022,Data engineer,Germany,CEO Foundry,"LAN,R"
07-26-2023,Data engineer,Germany,Five Pack Creative,"MAN,Project Management,R"
12-05-2024,Data engineer,Germany,Indeed,"Software Development,R"
11-20-2024,Data engineer,Germany,Apollo Technology Solutions LLC,"Software Development,R"
12-04-2024,Data engineer,Germany,Infosys,"Software Development,R"
11-25-2024,Data engineer,Germany,PepsiCo,"Software Development,R"
11-21-2024,Data engineer,Germany,Infosys,"LAN,R"
10-11-2024,Data engineer,Germany,Adidev Technologies Inc,R
10-17-2024,Data engineer,Germany,Toyota Tsusho Systems,"Software Development,R"
09-05-2024,Data engineer,Germany,"Contact Government Services, LLC","LAN,R"
07-26-2024,Data engineer,Germany,Care.com,"LAN,R"
10-18-2024,Data engineer,Germany,Adidev Technologies Inc,R
10-21-2024,Data engineer,Germany,"Contact Government Services, LLC",R
10-12-2018,Data engineer,Germany,Crossroads Technologies,R
08-30-2024,Data engineer,Germany,"Contact Government Services, LLC",R
04-17-2019,Data engineer,Germany,Crossroads Technologies,R
11-22-2024,Data engineer,Germany,Adidev Technologies Inc,"LAN,R"
10-09-2024,Data engineer,Germany,"Contact Government Services, LLC","LAN,R"
04-17-2019,Data engineer,Germany,Crossroads Technologies,"MAN,Project Management,R"
11-22-2024,Data engineer,Germany,Adidev Technologies Inc,R
10-01-2024,Data engineer,Germany,Indeed,"Software Development,R"
10-11-2024,Data engineer,Germany,Adidev Technologies Inc,"LAN,R"
10-11-2024,Data engineer,Germany,Adidev Technologies Inc,"LAN,R"
04-20-2023,Data engineer,Germany,Rightnow Ministries International,"LAN,R"
12-03-2021,Data engineer,Germany,VYNYL,"Software Development,R"
11-04-2024,Data engineer,Germany,"Standard Motor Products, Inc.",R
11-04-2024,Data engineer,Germany,Indeed,"Software Development,R"
12-06-2024,Data engineer,Germany,Indeed,R
12-05-2024,Data engineer,Germany,Tyler Technologies,"Software Development,R"
10-21-2024,Data engineer,Germany,CVS Health,"Software Development,R"
12-03-2024,Data engineer,Germany,Indeed,"Authorization,R"
12-06-2024,Data engineer,Germany,Infosys,"Software Development,R"
11-18-2024,Data engineer,Germany,Nisum,R
12-01-2024,Data engineer,Germany,Everlight Solar,R
11-21-2024,Data engineer,Germany,Infosys,"LAN,R"
07-08-2020,Data engineer,Germany,Infosys,"LAN,R"
11-19-2024,Data engineer,Germany,Geoforce,R
07-07-2019,Data engineer,Germany,Synthesis Systems,"LAN,R"
10-12-2018,Data engineer,Germany,Crossroads Technologies,R
10-21-2024,Data engineer,Germany,"Contact Government Services, LLC",R
10-09-2024,Data engineer,Germany,"Contact Government Services, LLC","LAN,R"
08-30-2024,Data engineer,Germany,"Contact Government Services, LLC",R
12-06-2024,Data engineer,Germany,Indeed,R
12-05-2024,Data engineer,Germany,Tyler Technologies,"Software Development,R"
10-21-2024,Data engineer,Germany,CVS Health,"Software Development,R"
12-03-2024,Data engineer,Germany,Indeed,"Authorization,R"
12-06-2024,Data engineer,Germany,Infosys,"Software Development,R"
11-18-2024,Data engineer,Germany,Nisum,R
12-01-2024,Data engineer,Germany,Everlight Solar,R
11-21-2024,Data engineer,Germany,Infosys,"LAN,R"
07-08-2020,Data engineer,Germany,Infosys,"LAN,R"
11-19-2024,Data engineer,Germany,Geoforce,R
07-07-2019,Data engineer,Germany,Synthesis Systems,"LAN,R"
10-12-2018,Data engineer,Germany,Crossroads Technologies,R
10-21-2024,Data engineer,Germany,"Contact Government Services, LLC",R
10-09-2024,Data engineer,Germany,"Contact Government Services, LLC","LAN,R"
08-30-2024,Data engineer,Germany,"Contact Government Services, LLC",R
10-11-2024,Data engineer,Germany,Adidev Technologies Inc,"LAN,R"
04-20-2023,Data engineer,Germany,Rightnow Ministries International,"LAN,R"
12-03-2021,Data engineer,Germany,VYNYL,"Software Development,R"
11-04-2024,Data engineer,Germany,"Standard Motor Products, Inc.",R
11-04-2024,Data engineer,Germany,Indeed,"Software Development,R"
12-09-2024,Data engineer,Germany,iSeatz,"Software Development,R"
08-09-2024,Data engineer,Germany,Smart IMS,R
12-21-2023,Data engineer,Germany,CAST Software Inc.,"Software Development,R"
10-18-2024,Data engineer,Germany,Minitab,R
11-19-2024,Data engineer,Germany,"Blue Mountain Quality Resources, LLC","LAN,R"
11-22-2024,Data engineer,Germany,"Blue Mountain Quality Resources, LLC",R
11-22-2024,Data engineer,Germany,"Blue Mountain Quality Resources, LLC",R
12-05-2024,Data engineer,Germany,AT&amp;T,R
01-28-2024,Data engineer,Germany,Fults &amp; Associates,"Software Development,R"
11-22-2024,Data engineer,Germany,Inclusion Cloud,"Gin,Data Engineering,R"
08-04-2020,Data engineer,Germany,Lead Liaison,"Software Development,R"
06-10-2022,Data engineer,Germany,Palni,R
12-10-2024,Data engineer,Germany,Virtusa,"LAN,R"
05-15-2024,Data engineer,Germany,Photon,R
03-28-2024,Data engineer,Germany,Photon,"LAN,R"
03-07-2024,Data engineer,Germany,Photon,"LAN,R"
11-22-2024,Data engineer,Germany,Inclusion Cloud,"Analytics,Gin,MAN,Data Management,Data Engineering,R"
11-22-2024,Data engineer,Germany,Inclusion Cloud,R
08-06-2024,Data engineer,Germany,Nuvem,"Gin,Data Engineering,R"
11-06-2024,Data engineer,Germany,Citi,R
11-22-2024,Data engineer,Germany,Inclusion Cloud,"Software Development,R"
11-21-2024,Data engineer,Germany,Accenture,"LAN,R"
11-06-2024,Data engineer,Germany,Citi,R
12-03-2024,Data engineer,Germany,T-Mobile,"LAN,R"
12-03-2024,Data engineer,Germany,CAPCO,R
11-27-2024,Data engineer,Germany,Cognizant,"Software Development,R"
10-18-2024,Data engineer,Germany,Baer Group,"Software Development,R"
09-03-2024,Data engineer,Germany,Hitachi Digital Services,R
02-23-2024,Data engineer,Germany,Photon,"LAN,R"
06-16-2023,Data engineer,Germany,Energy Transfer Family of Partnerships,"Gin,Data Engineering,R"
11-27-2024,Data engineer,Germany,Cognizant,"Software Development,R"
12-05-2024,Data engineer,Germany,Accenture,"Software Development,R"
04-01-2022,Data engineer,Germany,Pixentia,"LAN,R"
08-29-2024,Data engineer,Germany,Topgolf Callaway Brands Corp.,"LAN,R"
10-29-2024,Data engineer,Germany,Wolters Kluwer,"Software Development,R"
09-17-2024,Data engineer,Germany,"Vizient, Inc.",R
01-10-2024,Data engineer,Germany,Fults &amp; Associates,"Software Development,R"
09-03-2024,Data engineer,Germany,Hitachi Digital Services,R
12-03-2024,Data engineer,Germany,T-Mobile,"LAN,R"
01-10-2024,Data engineer,Germany,Fults &amp; Associates,"Software Development,R"
08-29-2024,Data engineer,Germany,Topgolf Callaway Brands Corp.,"LAN,R"
10-29-2024,Data engineer,Germany,Wolters Kluwer,"Software Development,R"
11-06-2024,Data engineer,Germany,Citi,R
11-27-2024,Data engineer,Germany,Cognizant,"Software Development,R"
12-03-2024,Data engineer,Germany,CAPCO,R
06-16-2023,Data engineer,Germany,Energy Transfer Family of Partnerships,"Gin,Data Engineering,R"
11-27-2024,Data engineer,Germany,Cognizant,"Software Development,R"
10-18-2024,Data engineer,Germany,Baer Group,"Software Development,R"
04-01-2022,Data engineer,Germany,Pixentia,"LAN,R"
12-05-2024,Data engineer,Germany,Accenture,"Software Development,R"
02-23-2024,Data engineer,Germany,Photon,"LAN,R"
12-06-2024,Data engineer,Germany,Intone networks,"LAN,R"
10-22-2024,Data engineer,Germany,Photon,R
12-10-2024,Data engineer,Germany,zenith services,"Software Development,R"
09-17-2024,Data engineer,Germany,"Vizient, Inc.",R
06-25-2024,Data engineer,Germany,Photon,"LAN,R"
12-05-2024,Data engineer,Germany,Nuvem,"LAN,R"
01-09-2024,Data engineer,Germany,Fidelity TalentSource,"LAN,R"
11-22-2024,Data engineer,Germany,Inclusion Cloud,"LAN,R"
07-21-2020,Data engineer,Germany,Palni,"Software Development,R"
10-30-2024,Data engineer,Germany,CEDENT,"Software Development,R"
07-09-2024,Data engineer,Germany,"VIZIO, Inc.","Software Development,R"
12-08-2024,Data engineer,Germany,Fidelity TalentSource,R
11-20-2024,Data engineer,Germany,Digital Realty,"ORM,R"
09-20-2024,Data engineer,Germany,Gartner,"MAN,R"
11-07-2024,Data engineer,Germany,RisamSoft,R
06-12-2023,Data engineer,Germany,EZ4 Technologies,R
11-22-2024,Data engineer,Germany,Inclusion Cloud,R
07-26-2021,Data engineer,Germany,"Mentalix, Inc.","LAN,R"
10-31-2024,Data engineer,Germany,JSX,"Software Development,R"
11-18-2024,Data engineer,Germany,JPMorgan Chase,"LAN,R"
06-14-2024,Data engineer,Germany,Photon,"LAN,R"
12-05-2024,Data engineer,Germany,Deloitte,"LAN,R"
12-06-2024,Data engineer,Germany,Liberty Software,"LAN,R"
11-22-2024,Data engineer,Germany,Inclusion Cloud,"LAN,R"
12-05-2024,Data engineer,Germany,Deloitte,"LAN,R"
11-05-2024,Data engineer,Germany,KPMG,"LAN,R"
11-18-2024,Data engineer,Germany,Cognizant,R
07-31-2023,Data engineer,Germany,Augur IT,"LAN,R"
11-25-2022,Data engineer,Germany,Unigo,"LAN,R"
10-03-2024,Data engineer,Germany,Wells Fargo,"Software Development,R"
12-03-2024,Data engineer,Germany,Indeed,"Software Development,R"
11-18-2024,Data engineer,Germany,Raytheon,R
11-18-2024,Data engineer,Germany,Broadcom,"LAN,R"
06-12-2023,Data engineer,Germany,EZ4 Technologies,R
07-28-2022,Data engineer,Germany,AmplifAI Solutions,R
11-18-2024,Data engineer,Germany,Broadcom,"LAN,R"
11-22-2024,Data engineer,Germany,Inclusion Cloud,R
09-25-2019,Data engineer,Germany,Digital Success,"Software Development,R"
05-21-2024,Data engineer,Germany,Photon,"LAN,R"
02-23-2021,Data engineer,Germany,CapB InfoteK,"Software Development,R"
09-12-2024,Data engineer,Germany,Photon,"LAN,R"
12-05-2024,Data engineer,Germany,Indeed,"LAN,R"
06-07-2022,Data engineer,Germany,Winsteer Technology,"LAN,R"
11-12-2024,Data engineer,Germany,Palco,R
10-18-2024,Data engineer,Germany,Indeed,"Software Development,R"
07-11-2024,Data engineer,Germany,Harness,"LAN,R"
10-30-2024,Data engineer,Germany,Indeed,"Authorization,R"
09-28-2024,Data engineer,Germany,Indeed,"Software Development,R"
10-29-2024,Data engineer,Germany,Indeed,"LAN,R"
10-11-2024,Data engineer,Germany,Indeed,R
11-16-2023,Data engineer,Germany,"Contact Government Services, LLC","Software Development,R"
09-05-2024,Data engineer,Germany,"Contact Government Services, LLC","LAN,R"
07-23-2024,Data engineer,Germany,"Contact Government Services, LLC","LAN,R"
10-09-2024,Data engineer,Germany,"Contact Government Services, LLC","LAN,R"
08-14-2024,Data engineer,Germany,"Contact Government Services, LLC","LAN,R"
09-03-2024,Data engineer,Germany,"Contact Government Services, LLC",R
10-25-2024,Data engineer,Germany,"Contact Government Services, LLC","LAN,R"
08-30-2024,Data engineer,Germany,iSeatz,R
