id,Posted_date,Job Title from List,Job Title,Company,Company Logo URL,Country,Location,Skills,Salary Info,Source
1,12/06/2024,AI engineer,AI Developer Training and Internship Program,Learning AI Redesign,https://media.licdn.com/dms/image/v2/D4D0BAQFSSEV9TRz0dA/company-logo_100_100/company-logo_100_100/0/1723119317779/refonte_learning_ai_logo?e=1741824000&v=beta&t=AMt4_-aW4TRf6Z1I5WaMjjM7AIqVFs_EwDjuBcRT1ps,germany,European Union,"Analytical Skills, Computer Engineering, Computer Vision, Convolutional Neural Networks (CNN), Image Processing, Model Training, Neural Networks, Optimization, Pattern Recognition,  Visual Solutions",NA,linkedin.com
2,12/04/2024,AI engineer,AI Cloud Engineer,SYNLAB International,https://media.licdn.com/dms/image/v2/C4D0BAQFpKUXUGapEqQ/company-logo_100_100/company-logo_100_100/0/1630556692028/synlab_international_logo?e=1741824000&v=beta&t=NBkMfo1kYAfCjOBV-r5g1xKti9fvsqh6ldqgKFP-Bo8,germany,"Munich, Bavaria, Germany","Artificial Intelligence (AI), Azure SQL, Continuous Integration  Continuous Delivery (CI/CD), Google Cloud Platform (GCP), Kubernetes, Machine Learning, Microsoft Azure Machine Learning, PyTorch, Python (Programming Language),  TensorFlow",NA,linkedin.com
3,11/15/2024,AI engineer,AI Engineer (Intern),Enzo,https://media.licdn.com/dms/image/v2/C4E0BAQHbRC92V2coug/company-logo_100_100/company-logo_100_100/0/1651228407601/heyenzo_logo?e=1741824000&v=beta&t=YE5EOrWHfnNlkVl1JfR1iU5atpGK2FMBbED3hh3a0jw,germany,"Heidelberg, Baden-Württemberg, Germany","Analytical Skills, Artificial Intelligence (AI), Data Mining, Data Science, Deep Learning, Machine Learning, Natural Language Processing (NLP), Pattern Recognition, Programming,  Python (Programming Language)",NA,linkedin.com
4,12/04/2024,AI engineer,AI/ML Engineer - Biomedical AI (m/f/d),GSK,https://media.licdn.com/dms/image/v2/C4E0BAQE52m4AbEhxCw/company-logo_100_100/company-logo_100_100/0/1663675238924/glaxosmithkline_logo?e=1741824000&v=beta&t=K7U66T23pZhoUHlnpiUtPlX1LIGI1GKJbsRZYTKHb4s,germany,"Heidelberg, Baden-Württemberg, Germany","Artificial Intelligence (AI), Computer Science, Computer Vision, Data Science, Deep Learning, Machine Learning, Pattern Recognition, Programming, Python (Programming Language),  TensorFlow",NA,linkedin.com
5,02/10/2024,AI engineer,ML / AI Engineer Intern (m/f/d),Touch,https://media.licdn.com/dms/image/v2/C4D0BAQHnRH22MTYC6g/company-logo_100_100/company-logo_100_100/0/1634156427987/tactotechnology_logo?e=1741824000&v=beta&t=z5yXt5vudSYnHfqQl8MdpHKBdGVy7Zc2IeGOxqSWvH4,germany,"Munich, Bavaria, Germany","Artificial Intelligence (AI), Bread, Data Science, Linux, Machine Learning, Pattern Recognition, Python (Programming Language), Scikit-Learn, Troubleshooting,  Workflow Optimization",NA,linkedin.com
6,12/05/2024,AI engineer,Artificial Intelligence Engineer,micro1,https://media.licdn.com/dms/image/v2/D560BAQErvsAhczMHGg/company-logo_100_100/company-logo_100_100/0/1664399464247/micro1_logo?e=1741824000&v=beta&t=BGUDLskoCdte7NW66k_yN76POhpcGLfyDWoM24yGjho,germany,EMEA,"Algorithms, Artificial Intelligence (AI), Computer Vision, Data Science, Deep Learning, Machine Learning, Machine Learning Algorithms, Natural Language Processing (NLP), Pattern Recognition,  TensorFlow",NA,linkedin.com
7,11/29/2024,AI engineer,Intern Embedded AI & Ml Engineer for Intelligent Interactive Systems (f/m/x),BMW Group,https://media.licdn.com/dms/image/v2/D4D0BAQG-ty2ieqUafw/company-logo_100_100/company-logo_100_100/0/1719814324897/bmw_group_logo?e=1741824000&v=beta&t=12u2qrUJooG0RJX4EajX58n5nCuSZ3ciimbIxkFFK5c,germany,"Munich, Bavaria, Germany","Artificial Intelligence (AI), C++, Control Engineering, Data Mining, Data Science, Machine Learning, Pattern Recognition, Python (Programming Language), Scripting,  Signal Processing",NA,linkedin.com
8,12/05/2024,AI engineer,Trainee AI Engineer (m/w/d) - 12 Monate,taod Consulting GmbH,https://media.licdn.com/dms/image/v2/C560BAQGkkAYclzU9VA/company-logo_100_100/company-logo_100_100/0/1645438402576/taod_consulting_gmbh_logo?e=1741824000&v=beta&t=RQp8vb2V6XkaX1HVlsmKOr7Y6kdA_z7YsUy3gvX1mgI,germany,"Cologne, North Rhine-Westphalia, Germany","Artificial Intelligence (AI), Computer Science, Computer Vision, Data Science, Deep Learning, Machine Learning, Natural Language Processing (NLP), Programming, Python (Programming Language),  Statistics",NA,linkedin.com
9,11/15/2024,AI engineer,AI Engineer for AI Startup,Rhesis AI,https://media.licdn.com/dms/image/v2/D4D0BAQEimU6MxmbdoQ/company-logo_100_100/company-logo_100_100/0/1728495530560/rhesis_ai_logo?e=1741824000&v=beta&t=0BRMebzv4sarddWxKXiBni-Xo4rl2FmVcb-6VSWzlQU,germany,"Potsdam, Brandenburg, Germany","Artificial Intelligence (AI), Data Science, Deep Learning, Machine Learning, Natural Language Processing (NLP), Pattern Recognition, Python (Programming Language), Software Development, Systems Design,  Test Automation",NA,linkedin.com
10,11/29/2024,AI engineer,AI Inference Engineer - Large Language Models (f/m/d),Aleph Alpha,https://media.licdn.com/dms/image/v2/C4E0BAQFLPsivF5akyw/company-logo_100_100/company-logo_100_100/0/1661777031414/aleph_alpha_logo?e=1741824000&v=beta&t=WL2_G99nkAfLBd-sKKH_grAOTE728-3N8d9PpoP0qYs,germany,"Berlin, Berlin, Germany","Artificial Intelligence (AI), Computer Science, Computer Vision, Data Science, Deep Learning, Large Language Models (LLM), Machine Learning, Pattern Recognition, Python (Programming Language),  Systems Design",NA,linkedin.com
